frame_no,time,size_px-green,gx,gy,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
111,3852.8,11,471,706,,,,,,,,,,,,,,,
112,3883.3,12,467,729,,,,,,,,,,,,,,,
113,3917,12,464,754,,,,,,,,,,,,,,,
114,3952.6,12,461,779,,,,,,,,,,,,,,,
115,3981.7,13,458,805,,,,,,,,,,,,,,,
116,4013.6,12,455,831,,,,,,,,,,,,,,,
117,4049.8,13,452,858,,,,,,,,,,,,,,,
118,4081.4,13,448,886,,,,,,,,,,,,,,,
119,4116.6,13,446,914,,,,,,,,,,,,,,,
120,4149.6,13,442,942,,,,,,,,,,,,,,,
121,4213.2,11,437,920,,,,,,,,,,,,,,,
122,4249.1,10,436,904,,,,,,,,,,,,,,,
123,4281.1,10,432,889,,,,,,,,,,,,,,,
124,4380.9,10,425,848,,,,,,,,,,,,,,,
125,4414,9,423,835,,,,,,,,,,,,,,,
126,4455.2,9,420,824,,,,,,,,,,,,,,,
127,4484.6,9,419,813,,,,,,,,,,,,,,,
128,4513.5,9,416,802,,,,,,,,,,,,,,,
129,4549.3,9,414,793,,,,,,,,,,,,,,,
130,4582.2,9,412,784,,,,,,,,,,,,,,,
131,4616.2,9,409,776,,,,,,,,,,,,,,,
132,4649.2,9,407,768,,,,,,,,,,,,,,,
133,4681.2,8,405,762,,,,,,,,,,,,,,,
134,4713.3,8,402,755,,,,,,,,,,,,,,,
135,4749.1,8,400,750,,,,,,,,,,,,,,,
136,4781.8,8,397,745,,,,,,,,,,,,,,,
137,4813.4,8,394,741,,,,,,,,,,,,,,,
138,4849.1,8,392,738,,,,,,,,,,,,,,,
139,4881.4,8,389,736,,,,,,,,,,,,,,,
140,4914.5,8,386,733,,,,,,,,,,,,,,,
141,4949.3,8,384,733,,,,,,,,,,,,,,,
142,4984.6,8,381,732,,,,,,,,,,,,,,,
143,5015.4,8,378,733,,,,,,,,,,,,,,,
144,5052.4,8,376,733,,,,,,,,,,,,,,,
145,5082.4,8,373,735,,,,,,,,,,,,,,,
146,5113.4,8,371,737,,,,,,,,,,,,,,,
147,5152.6,8,367,740,,,,,,,,,,,,,,,
148,5181.3,8,365,745,,,,,,,,,,,,,,,
149,5248.8,8,359,754,,,,,,,,,,,,,,,
150,5281.1,8,356,760,,,,,,,,,,,,,,,
151,5313.6,9,354,767,,,,,,,,,,,,,,,
152,5352.5,8,350,774,,,,,,,,,,,,,,,
153,5382.3,9,348,782,,,,,,,,,,,,,,,
154,5413.5,9,344,791,,,,,,,,,,,,,,,
155,5449.4,9,343,801,,,,,,,,,,,,,,,
156,5481.6,9,339,811,,,,,,,,,,,,,,,
157,5513.7,9,337,822,,,,,,,,,,,,,,,
158,5549.1,9,335,833,,,,,,,,,,,,,,,
159,5581.4,9,332,845,,,,,,,,,,,,,,,
160,5613.7,10,329,858,,,,,,,,,,,,,,,
161,5652.7,10,327,872,,,,,,,,,,,,,,,
162,5686.1,10,324,886,,,,,,,,,,,,,,,
163,5713.4,10,321,901,,,,,,,,,,,,,,,
