frame_no,time,size_px-green,gx,gy,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,136.1,,,,,,,,,,22,770,1015,,,,,,
1,136.1,,,,,,,,,,35,784,1014,,,,,,
2,246.6,,,,,,,,,,36,785,1014,,,,,,
3,268.8,,,,,,,,,,39,782,1004,,,,,,
4,293.5,8,665,937,,,,,,,,,,,,,,,
5,293.5,8,665,937,,,,,,,,,,,,,,,
6,302.9,8,665,937,,,,,,,,,,,,,,,
7,313,8,665,937,,,,,,,,,,,,,,,
8,331.5,8,665,937,,,,,,,,,,,,,,,
9,340.4,8,665,937,,,,,,,,,,,,,,,
10,353.9,8,666,936,,,,,,,,,,,,,,,
11,385,8,667,936,,,,,,,,,,,,,,,
12,417.4,8,667,936,,,,,,,,,,,,,,,
13,453,8,667,936,,,,,,,,,,,,,,,
14,489,8,668,936,,,,,,,,,,,,,,,
15,553.1,8,668,936,,,,,,,,,,,,,,,
16,585.1,8,668,936,,,,,,,,,,,,,,,
17,617.4,8,668,936,,,,,,,,,,,,,,,
18,649.5,8,668,936,,,,,,,,,,,,,,,
19,685.1,8,668,936,,,,,,,,,,,,,,,
20,716.9,8,668,936,,,,,,,,,,,,,,,
21,748.9,8,669,936,,,,,,,,,,,,,,,
22,784.9,8,669,936,,,,,,,,,,,,,,,
23,849,8,670,936,,,,,,,,,,,,,,,
24,916.8,8,671,936,,,,,,,,,,,,,,,
25,953.4,8,671,937,,,,,,,,,,,,,,,
26,985,8,671,937,,,,,,,,,,,,,,,
27,1027.3,8,671,937,,,,,,,,,,,,,,,
28,1049.2,8,671,937,,,,,,,,,,,,,,,
29,1084.9,8,671,937,,,,,,,,,,,,,,,
30,1148.8,8,671,936,,,,,,,,,,,,,,,
31,1185,8,671,937,,,,,,,,,,,,,,,
32,1217.1,8,671,937,,,,,,,,,,,,,,,
33,1249.1,8,671,937,,,,,,,,,,,,,,,
34,1285,8,671,937,,,,,,,,,,,,,,,
35,1318.2,8,671,937,,,,,,,,,,,,,,,
36,1349.2,8,671,937,,,,,,,,,,,,,,,
37,1384.8,8,671,937,,,,,,,,,,,,,,,
38,1417.2,8,671,937,,,,,,,,,,,,,,,
39,1455.1,8,671,937,,,,,,,,,,,,,,,
40,1487.4,8,671,937,,,,,,,,,,,,,,,
41,1517.2,8,670,937,,,,,,,,,,,,,,,
42,1549,8,670,937,,,,,,,,,,,,,,,
43,1584.8,8,670,937,,,,,,,,,,,,,,,
44,1617,8,670,937,,,,,,,,,,,,,,,
45,1648.8,8,670,937,,,,,,,,,,,,,,,
46,1716.8,8,671,936,,,,,,,,,,,,,,,
