frame_no,time,size_px-green,gx,gy,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
47,1749.2,8,670,934,,,,,,,,,,,,,,,
48,1787.1,9,671,928,,,,,,,,,,,,,,,
49,1816.9,11,670,914,,,,,,,,,,,,,,,
50,1851.1,13,669,892,,,,,,,,,,,,,,,
51,1885,14,663,865,,,,,,,,,,,,,,,
52,1917,14,660,836,,,,,,,,,,,,,,,
53,1949.1,13,654,809,,,,,,,,,,,,,,,
54,1985.3,13,649,782,,,,,,,,,,,,,,,
55,2017,12,643,755,,,,,,,,,,,,,,,
56,2050.1,12,638,730,,,,,,,,,,,,,,,
57,2087.1,12,633,705,,,,,,,,,,,,,,,
58,2123.1,11,626,681,,,,,,,,,,,,,,,
59,2161,11,621,657,,,,,,,,,,,,,,,
60,2186,10,616,635,,,,,,,,,,,,,,,
61,2217.2,10,611,612,,,,,,,,,,,,,,,
62,2249.6,10,605,591,,,,,,,,,,,,,,,
63,2285.3,10,599,570,,,,,,,,,,,,,,,
64,2317.4,10,594,551,,,,,,,,,,,,,,,
65,2349.3,10,589,531,,,,,,,,,,,,,,,
66,2384.8,10,583,513,,,,,,,,,,,,,,,
67,2417,10,577,495,,,,,,,,,,,,,,,
68,2449.1,10,572,478,,,,,,,,,,,,,,,
69,2485.1,10,565,462,,,,,,,,,,,,,,,
70,2517,10,560,446,,,,,,,,,,,,,,,
71,2549,10,554,432,,,,,,,,,,,,,,,
72,2585.1,10,548,417,,,,,,,,,,,,,,,
73,2616.9,10,542,404,,,,,,,,,,,,,,,
74,2716.8,10,524,367,,,,,,,,,,,,,,,
75,2753.1,10,518,357,,,,,,,,,,,,,,,
76,2785.9,10,513,346,,,,,,,,,,,,,,,
77,2849.1,10,501,329,,,,,,,,,,,,,,,
78,2885,10,494,321,,,,,,,,,,,,,,,
79,2917,9,488,315,,,,,,,,,,,,,,,
80,2949.1,9,481,308,,,,,,,,,,,,,,,
81,2984.8,9,475,303,,,,,,,,,,,,,,,
82,3017.5,9,469,297,,,,,,,,,,,,,,,
83,3049.4,9,463,294,,,,,,,,,,,,,,,
84,3085,9,456,291,,,,,,,,,,,,,,,
85,3117.8,9,450,289,,,,,,,,,,,,,,,
86,3149.4,9,444,287,,,,,,,,,,,,,,,
87,3185,9,438,286,,,,,,,,,,,,,,,
88,3284.7,9,418,289,,,,,,,,,,,,,,,
89,3317.4,9,412,292,,,,,,,,,,,,,,,
90,3349.9,9,406,294,,,,,,,,,,,,,,,
91,3385,9,399,299,,,,,,,,,,,,,,,
92,3417.1,9,393,303,,,,,,,,,,,,,,,
93,3451.1,9,386,309,,,,,,,,,,,,,,,
94,3484.7,9,380,315,,,,,,,,,,,,,,,
95,3517,9,374,322,,,,,,,,,,,,,,,
96,3551.5,9,367,330,,,,,,,,,,,,,,,
97,3584.8,9,360,338,,,,,,,,,,,,,,,
98,3617,10,355,348,,,,,,,,,,,,,,,
99,3649.5,10,347,358,,,,,,,,,,,,,,,
100,3684.9,10,341,368,,,,,,,,,,,,,,,
101,3717,10,335,379,,,,,,,,,,,,,,,
102,3749.2,10,328,392,,,,,,,,,,,,,,,
103,3785,10,321,405,,,,,,,,,,,,,,,
104,3817.7,10,316,418,,,,,,,,,,,,,,,
105,3849.2,10,309,433,,,,,,,,,,,,,,,
106,3885.4,10,302,448,,,,,,,,,,,,,,,
107,3949.2,10,290,480,,,,,,,,,,,,,,,
108,3984.9,10,284,497,,,,,,,,,,,,,,,
109,4017.2,10,279,515,,,,,,,,,,,,,,,
110,4050.8,10,272,534,,,,,,,,,,,,,,,
111,4117.1,10,261,573,,,,,,,,,,,,,,,
112,4148.9,10,253,593,,,,,,,,,,,,,,,
113,4216.8,10,242,636,,,,,,,,,,,,,,,
114,4249,11,236,658,,,,,,,,,,,,,,,
115,4284.9,11,230,681,,,,,,,,,,,,,,,
116,4316.9,11,224,704,,,,,,,,,,,,,,,
117,4349,12,218,728,,,,,,,,,,,,,,,
118,4385.1,12,212,753,,,,,,,,,,,,,,,
119,4416.7,12,208,779,,,,,,,,,,,,,,,
120,4484.9,13,195,831,,,,,,,,,,,,,,,
121,4516.9,13,189,857,,,,,,,,,,,,,,,
122,4549.1,14,184,885,,,,,,,,,,,,,,,
123,4585,13,177,913,,,,,,,,,,,,,,,
124,4617.6,13,173,941,,,,,,,,,,,,,,,
125,4660.5,11,167,940,,,,,,,,,,,,,,,
126,4685.3,11,163,924,,,,,,,,,,,,,,,
127,4720.9,11,158,909,,,,,,,,,,,,,,,
128,4749.4,10,152,896,,,,,,,,,,,,,,,
129,4786.1,11,148,882,,,,,,,,,,,,,,,
130,4817.1,10,143,870,,,,,,,,,,,,,,,
131,4849.5,10,138,858,,,,,,,,,,,,,,,
132,4885.1,10,134,846,,,,,,,,,,,,,,,
133,4917,10,129,836,,,,,,,,,,,,,,,
134,4949.2,9,124,826,,,,,,,,,,,,,,,
135,4984.9,9,120,817,,,,,,,,,,,,,,,
136,5017.9,9,116,808,,,,,,,,,,,,,,,
137,5049.2,9,111,801,,,,,,,,,,,,,,,
138,5085.5,8,110,794,,,,,,,,,,,,,,,
139,5117,8,112,789,,,,,,,,,,,,,,,
140,5149.1,8,114,783,,,,,,,,,,,,,,,
141,5184.9,8,117,779,,,,,,,,,,,,,,,
142,5217.8,8,119,775,,,,,,,,,,,,,,,
143,5250,8,122,772,,,,,,,,,,,,,,,
144,5284.7,8,125,770,,,,,,,,,,,,,,,
145,5317,8,128,769,,,,,,,,,,,,,,,
146,5349.1,8,130,768,,,,,,,,,,,,,,,
147,5416.9,8,136,768,,,,,,,,,,,,,,,
148,5449.1,8,139,769,,,,,,,,,,,,,,,
149,5485.3,8,142,770,,,,,,,,,,,,,,,
150,5549,8,147,775,,,,,,,,,,,,,,,
151,5585.1,8,150,779,,,,,,,,,,,,,,,
152,5617.1,8,153,784,,,,,,,,,,,,,,,
153,5650.7,8,156,789,,,,,,,,,,,,,,,
154,5685.1,8,159,795,,,,,,,,,,,,,,,
155,5716.9,8,161,801,,,,,,,,,,,,,,,
156,5749.6,9,164,809,,,,,,,,,,,,,,,
